epoch,batch,train_loss,train_accuracy
6.0,700.0,0.79451656,0.78125
6.0,701.0,0.66240025,0.90625
6.0,702.0,0.80355906,0.84375
6.0,703.0,0.71219504,0.8125
6.0,704.0,0.61271566,0.8125
6.0,705.0,0.66558605,0.8125
6.0,706.0,0.3978199,0.84375
6.0,707.0,0.6340326,0.78125
6.0,708.0,0.7198276,0.84375
6.0,709.0,0.5255064,0.875
6.0,710.0,0.41951784,0.90625
6.0,711.0,0.593834,0.84375
6.0,712.0,0.7328887,0.75
6.0,713.0,0.78620255,0.75
6.0,714.0,0.9645544,0.71875
6.0,715.0,0.664039,0.78125
6.0,716.0,0.5490038,0.78125
6.0,717.0,0.42671934,0.875
6.0,718.0,0.9527487,0.71875
6.0,719.0,0.49565554,0.875
6.0,720.0,0.62212133,0.875
6.0,721.0,0.6729073,0.8125
6.0,722.0,0.53129226,0.84375
6.0,723.0,0.48933777,0.875
6.0,724.0,0.45813686,0.875
6.0,725.0,0.64296365,0.8125
6.0,726.0,0.42108276,0.9375
6.0,727.0,0.8571319,0.6875
6.0,728.0,0.5305485,0.875
6.0,729.0,0.83816934,0.78125
6.0,730.0,0.6025246,0.8125
6.0,731.0,0.6197292,0.78125
6.0,732.0,0.51323044,0.875
6.0,733.0,1.0358179,0.71875
6.0,734.0,0.6417261,0.8125
6.0,735.0,0.97196573,0.6875
6.0,736.0,0.6340399,0.90625
6.0,737.0,0.72672015,0.78125
6.0,738.0,0.6994668,0.78125
6.0,739.0,0.28480247,0.9375
6.0,740.0,0.4720914,0.90625
6.0,741.0,0.48132718,0.875
6.0,742.0,0.65734303,0.8125
6.0,743.0,0.51242036,0.8125
